PlasmoDBID,GoTerm
PF11_0238,GO:0020011
PFI1180w,GO:0006629
PFB0340c,GO:0008234
PFL1865w,GO:0003779
PFI0160w,GO:0005622
PFL0345w,GO:0016020
PF14_0394,GO:0016020
MAL13P1.205,GO:0005525
MAL13P1.55,GO:0020037
PFC0125w,GO:0006855
MAL13P1.337,GO:0019005
MAL13P1.222,GO:0005737
NA,GO:0005509
PF13_0107,GO:0050660
MAL13P1.264,GO:0044822
PF13_0040,GO:0020011
PF11_0183,GO:0003924
PFD0550c,GO:0005737
PFD1230c,GO:0020035
MAL7P1.224,GO:0005737
PF14_0177,GO:0006270
MAL8P1.110,GO:0005622
PFC0065c,GO:0016787
MAL8P1.146,GO:0005200
PFI0735c,GO:0003960
PFD0355c,GO:0004045
PFL1815c,GO:0016020
PFI1790w,GO:0006457
PFF1595c,GO:0020013
PFF1385c,GO:0035267
PFD0585c,GO:0005737
PFL0405w,GO:0016020
PFI0240c,GO:0031410
NA,GO:0006412
PFF1090c,GO:0016020
PFC0110w,GO:0020008
PF13_0360,GO:0005737
PF11_0050,GO:0005743
PFE0150c,GO:0050515
PF14_0545,GO:0005829
PFL0920c,GO:0005737
PFD1210w,GO:0005737
PF11_0362,GO:0004722
PFF1275c,GO:0004312
PFD0807c,GO:0005739
PFC0825c,GO:0006379
PFL2330w,GO:0042765
PFD0515w,GO:0000178
PFD0485w,GO:0008270
PFF1150w,GO:0016070
NA,GO:0008168
NA,GO:0016021
PF11_0258,GO:0051082
PFI0810c,GO:0030433
PFL1950w,GO:0020030
PF07_0102,GO:0005737
PFE0155w,GO:0017111
PF14_0278,GO:0006281
MAL8P1.8,GO:0031418
PFL0100c,GO:0003676
PF14_0271,GO:0006355
PF08_0131,GO:0016209
PF07_0007,GO:0033644
MAL13P1.185,GO:0006468
PF13_0223,GO:0006850
PFE0765w,GO:0005515
PF11_0183,GO:0006886
PF11_0462,GO:0005634
PF10_0331,GO:0006904
MAL13P1.171,GO:0008320
PFI0710c,GO:0005737
PF14_0602,GO:0071897
PF14_0424,GO:0016020
MAL13P1.40,GO:0016301
PFC0975c,GO:0006457
PF14_0709,GO:0019843
PF14_0112,GO:0003678
PF14_0422,GO:0016740
PFI0095c,GO:0020011
MAL13P1.281,GO:0020011
PFI0115c,GO:0006468
PF13_0143,GO:0000287
PFC0550w,GO:0010564
PFD1000c,GO:0020030
PFL1150c,GO:0030529
NA,GO:0016021
PFB0720c,GO:0005634
PF14_0125,GO:0034038
PF11_0437,GO:0005840
PFI1125c,GO:0006633
MAL7P1.167,GO:0005737
NA,GO:0005829
PFI0755c,GO:0005737
PFF1150w,GO:0090502
PFD0830w,GO:0006545
PF13_0073,GO:0030430
PFC0750w,GO:0006412
NA,GO:0003779
MAL13P1.47,GO:0005754
PF11_0411,GO:0005737
PF14_0747,GO:0016020
PFC0845c,GO:0008270
PF14_0784,GO:0042254
PFI1340w,GO:0016836
PFF0810c,GO:0015031
PFB0115w,GO:0005524
PF11_0469,GO:0006412
PFE0385w,GO:0005737
PF11_0212,GO:0003723
PFE1005w,GO:0003735
PFF0025w,GO:0020033
PF08_0136,GO:0003677
PFE0328w,GO:0003723
MAL7P1.21,GO:0003688
PF14_0173,GO:0030551
PF14_0046,GO:0016020
MAL8P1.75,GO:0019781
PFE0195w,GO:0000166
PFL1550w,GO:0042803
PF14_0717,GO:0000932
PF14_0517,GO:0070006
MAL13P1.332,GO:0020011
PF10_0147,GO:0016020
PFD1235w,GO:0020030
PFD1150c,GO:0020008
PF11_0330,GO:0005737
MAL13P1.311,GO:0003676
PFI0955w,GO:0022857
MAL8P1.20,GO:0007059
PFB0505c,GO:0006633
PFF0085w,GO:0000166
MAL8P1.64,GO:0003723
PF14_0495,GO:1990225
PF13_0203,GO:0005737
PF10_0084,GO:0043234
PF11_0431,GO:0020038
PF14_0023,GO:0003723
PFI0285w,GO:0005634
PF10_0404,GO:0020002
PFE1230c,GO:0005739
NA,GO:0005201
PF11_0200,GO:0005686
PFF0590c,GO:0003743
PF08_0094,GO:0019005
PF14_0112,GO:0003697
PFL0670c,GO:0005737
PF14_0464,GO:0016192
PFL2035c,GO:0005886
PFA0750w,GO:0016020
PF11_0377-a,GO:0005515
PFL1790w,GO:0005783
PFB0205c,GO:0008270
MAL8P1.95,GO:0005634
PF10_0366,GO:0055085
PF14_0500,GO:0031201
PF08_0066,GO:0050660
PF14_0131,GO:0000166
PF14_0492,GO:0005955
PFE1040c,GO:0006350
NA,GO:0030430
PF10_0138,GO:0005737
PFE1510c,GO:0009670
PFE0390w,GO:0016021
PF10_0099,GO:0005737
NA,GO:0005216
PF14_0034,GO:0065002
PFB0095c,GO:0020036
PFI0520w,GO:0005524
PFE0060w,GO:0030430
PFD0955w,GO:0020008
PF10_0143,GO:0006355
PF13_0288,GO:0003924
PFI1260c,GO:0016575
PF08_0039,GO:0005840
PFF0840w,GO:0055114
PFF0690c,GO:0016021
PFE0400w,GO:0008270
PF14_0112,GO:0006261
MAL13P1.95,GO:0055114
PFE1025c,GO:0003677
PFE0175c,GO:0003779
PF14_0579,GO:0006412
PF13_0285,GO:0004445
PF13_0289,GO:0006915
PF08_0011,GO:0005524
PF07_0112,GO:0005839
PFD0455w,GO:0005730
PFL0805w,GO:0031982
PFC0280c,GO:0005737
PFE1525w,GO:0016021
MAL13P1.21,GO:0007076
PFE1155c,GO:0005739
PF14_0439,GO:0008235
MAL13P1.258,GO:0005975
MAL13P1.345,GO:0005634
MAL13P1.365,GO:0031201
PF10_0285,GO:0005874
PF14_0614,GO:0016787
PF10_0240,GO:0005737
PF10_0037,GO:0005524
MAL8P1.140,GO:0020011
NA,GO:0006979
PFC0740c,GO:0020011
NA,GO:0031072
PFI1640c,GO:0005737
PFF1050w,GO:0051083
PF13_0153,GO:0016787
PFD0330w,GO:0005524
PFC0170c,GO:0008152
MAL13P1.246,GO:0008152
PF13_0095,GO:0003678
PFE0815w,GO:0009982
PF07_0091,GO:0008380
MAL13P1.23-a,GO:0055085
MAL13P1.23-b,GO:0055085
PF10_0106,GO:0005524
PF14_0167,GO:0016272
PF13_0237,GO:0000076
MAL13P1.45,GO:0000398
PFF0970w,GO:0005634
PF14_0668,GO:0016020
MAL7P1.126,GO:0006417
PF11_0414,GO:0006974
PFA0210c,GO:0044164
PF13_0061,GO:0046933
PF14_0743,GO:0016020
PFA0320w,GO:0016740
PF11_0245,GO:0003746
PFL1525c,GO:0005524
PF10_0340,GO:0004825
PFE1245w,GO:0003676
PF13_0215,GO:0005634
NA,GO:0016192
PF10_0398,GO:0020002
PF14_0585,GO:0006412
PF14_0383,GO:0008270
MAL13P1.230,GO:0016020
PFL0020w,GO:0016337
PF10_0166,GO:1990225
PF13_0003,GO:0016021
PFC0205c,GO:0009055
MAL7P1.131,GO:0005737
PF10_0116,GO:0006788
PFI0070w,GO:0020035
PFI1475w,GO:0016020
PF14_0726,GO:0016020
PFI1735c,GO:0005737
PFD0710w,GO:0020011
PFA0160c,GO:0005345
PF07_0092,GO:0032040
PF14_0053,GO:0004748
PF13_0241,GO:0016021
PF10_0060,GO:0005737
PF14_0248,GO:0006122
PF11_0242,GO:0004672
PF10_0266,GO:0005732
PF13_0119,GO:0005829
PFL0210c,GO:0045901
PF14_0423,GO:0006468
PF13_0257,GO:0006424
NA,GO:0020011
PF14_0111,GO:0005524
PFL2165w,GO:0003774
MAL13P1.125,GO:0000166
PF11_0478,GO:0007018
PF11_0240,GO:0016887
PF10_0115,GO:0003723
PF13_0282,GO:0006511
PFL0755c,GO:0003684
NA,GO:0016020
NA,GO:0020036
PFE0780w,GO:0006817
PFB1010w,GO:0020033
PFB0895c,GO:0005524
MAL8P1.13,GO:0005886
PF13_0085,GO:0006468
PF10_0110,GO:0016021
PF11_0462,GO:0003700
PFC0416w,GO:0005840
NA,GO:0004168
PF11_0233,GO:0005634
PFC0430w,GO:0003924
PFL1655c,GO:0003677
NA,GO:0004045
MAL7P1.118,GO:0071025
PFC0890w,GO:0005783
PF14_0228,GO:0005524
PFB0415c,GO:0016020
PF14_0337,GO:0003774
PF10_0336,GO:0006413
MAL13P1.214,GO:0008152
PF11_0483a,GO:0018343
PF11_0048,GO:0005956
PFF0995c,GO:0046658
PF14_0772,GO:0020002
PF10_0221,GO:0020011
MAL13P1.102,GO:0005737
PFA0145c,GO:0005524
PF13_0034,GO:0015991
PFL0245w,GO:0006810
PF13_0339,GO:0005634
NA,GO:0008270
PF14_0551,GO:0005737
PF11_0139,GO:0005737
MAL7P1.145,GO:0006298
PFC0975c,GO:0000413
PF14_0296,GO:0005840
PFL0115w,GO:0020011
PF11_0436,GO:0005737
PF10_0155,GO:0020020
PFD0165w,GO:0000502
PFD0385w,GO:0016020
PF13_0104,GO:0016020
PFL2190c,GO:0005524
PFF0560c,GO:0005515
PF10_0108,GO:0004519
PFI1010w,GO:0005737
PF11_0064,GO:0016020
PFD0530c,GO:0005622
PFA0555c,GO:0006139
PF14_0396,GO:0008233
PF11_0157,GO:0055114
PFE1445c,GO:0020011
PFD0635c,GO:0050839
MAL13P1.205,GO:0016020
NA,GO:0004817
PF14_0199,GO:0016021
PFL0900c,GO:0005524
PF14_0508,GO:0055114
PF11_0488,GO:0006468
MAL8P1.79,GO:0005509
MAL13P1.298,GO:0005737
PF10_0122,GO:0005975
PFE0005w,GO:0016021
MAL7P1.185,GO:0020035
PF14_0488,GO:0030915
PF10_0136,GO:0003743
PFF0510w,GO:0000786
PF14_0207,GO:0003677
PF14_0183b,GO:0005524
PF11_0089,GO:0005524
PFI1730w,GO:0016337
PF14_0142,GO:0005515
PFB0595w,GO:0005829
PF14_0086,GO:0055114
PF13_0277,GO:0005737
PF11_0262,GO:0015986
MAL13P1.67,GO:0004479
PFC0850c,GO:0020011
PF10_0173,GO:0000166
PFF1465w,GO:0005737
PFE0520c,GO:0003918
PFB0955w,GO:0020036
PFB0810w,GO:0005622
PF11_0010,GO:0020002
PFF1105c,GO:0009073
PF10_0114,GO:0043161
PFI0975c,GO:0003774
MAL7P1.320,GO:0005840
PFF0420c,GO:0004298
PFE0865c,GO:0005737
PFD0980w,GO:0000287
MAL13P1.127,GO:0016020
PF11_0008,GO:0016337
PFE0985w,GO:0008270
PFE1605w,GO:0044164
PFE0860c,GO:0005737
PFE0580w,GO:0000408
PFE0300c,GO:0042254
PFL0080c,GO:0046777
PF11_0078,GO:0008270
PFF1555w,GO:0020003
PFC0750w,GO:0003924
PF10_0336,GO:0020011
NA,GO:0005096
PFI0655c,GO:0006412
PF14_0297,GO:0017111
PF14_0014,GO:0016020
PFA0740w,GO:0020003
PFB0972w,GO:0005524
MAL13P1.348,GO:0006506
PFB0035c,GO:0020013
MAL13P1.164,GO:0005739
PF11_0095,GO:0005737
NA,GO:0015031
PFL2440w,GO:0006289
PFL0570c,GO:0003735
PF13_0055,GO:0016020
PF08_0138,GO:0020013
PF11_0344,GO:0005515
PF10_0051,GO:0005471
PF10_0054,GO:0042274
PFD1100c,GO:0005525
PF14_0423,GO:0003824
PFI0530c,GO:0006269
PFB0445c,GO:0004004
PF14_0023,GO:0031119
PFE1145w,GO:0008270
PFB0760w,GO:0016020
PF14_0194,GO:0005681
PFI0075w,GO:0020003
PF13_0118,GO:0016020
PF10_0143,GO:0016573
NA,GO:0006415
PFC0420w,GO:0006468
MAL7P1.187,GO:0004872
PF14_0046,GO:0009055
PFL0740c,GO:0006986
PFI1440w,GO:0005634
PFL0830w,GO:0034462
PF14_0094,GO:0003924
PF11_0165,GO:0006508
PFL1870c,GO:0006684
PFL1115w,GO:0005634
PFF0675c,GO:0003774
